name,x,y
PB,2021-06-20,27
PB,2021-06-27,9
PE,2020-12-27,21
PE,2021-01-03,34
PE,2021-01-10,56
PE,2021-01-17,35
PE,2021-01-24,53
PE,2021-01-31,48
PE,2021-02-07,59
PE,2021-02-14,45
PE,2021-02-21,53
PE,2021-02-28,46
PE,2021-03-07,36
PE,2021-03-14,47
PE,2021-03-21,48
PE,2021-03-28,48
PE,2021-04-04,33
PE,2021-04-11,41
PE,2021-04-18,38
PE,2021-04-25,48
PE,2021-05-02,46
PE,2021-05-09,49
PE,2021-05-16,50
PE,2021-05-23,34
PE,2021-05-30,43
PE,2021-06-06,48
PE,2021-06-13,40
PE,2021-06-20,37
PE,2021-06-27,11
PI,2020-12-27,17
PI,2021-01-03,20
PI,2021-01-10,28
PI,2021-01-17,21
PI,2021-01-24,20
PI,2021-01-31,16
PI,2021-02-07,27
PI,2021-02-14,19
PI,2021-02-21,14
PI,2021-02-28,18
PI,2021-03-07,14
PI,2021-03-14,18
PI,2021-03-21,26
PI,2021-03-28,27
PI,2021-04-04,20
PI,2021-04-11,21
PI,2021-04-18,11
PI,2021-04-25,17
PI,2021-05-02,23
PI,2021-05-09,21
PI,2021-05-16,22
PI,2021-05-23,22
PI,2021-05-30,22
PI,2021-06-06,16
PI,2021-06-13,20
PI,2021-06-20,24
PI,2021-06-27,6
PR,2020-12-27,68
PR,2021-01-03,140
PR,2021-01-10,138
PR,2021-01-17,123
PR,2021-01-24,129
PR,2021-01-31,121
PR,2021-02-07,144
PR,2021-02-14,137
PR,2021-02-21,154
PR,2021-02-28,121
PR,2021-03-07,113
PR,2021-03-14,109
PR,2021-03-21,110
PR,2021-03-28,109
PR,2021-04-04,147
PR,2021-04-11,125
PR,2021-04-18,128
PR,2021-04-25,152
PR,2021-05-02,143
PR,2021-05-09,133
PR,2021-05-16,126
PR,2021-05-23,129
PR,2021-05-30,142
PR,2021-06-06,136
PR,2021-06-13,150
PR,2021-06-20,137
PR,2021-06-27,58
RJ,2020-12-27,43
RJ,2021-01-03,87
RJ,2021-01-10,84
RJ,2021-01-17,90
RJ,2021-01-24,95
RJ,2021-01-31,64
RJ,2021-02-07,86
RJ,2021-02-14,74
RJ,2021-02-21,83
RJ,2021-02-28,91
RJ,2021-03-07,99
RJ,2021-03-14,88
RJ,2021-03-21,92
RJ,2021-03-28,83
RJ,2021-04-04,84
RJ,2021-04-11,81
RJ,2021-04-18,68
RJ,2021-04-25,83
RJ,2021-05-02,92
RJ,2021-05-09,89
RJ,2021-05-16,78
RJ,2021-05-23,94
RJ,2021-05-30,94
RJ,2021-06-06,89
RJ,2021-06-13,80
RJ,2021-06-20,94
RJ,2021-06-27,32
RN,2020-12-27,11
RN,2021-01-03,18
RN,2021-01-10,25
RN,2021-01-17,28
RN,2021-01-24,20
RN,2021-01-31,33
RN,2021-02-07,19
RN,2021-02-14,20
RN,2021-02-21,24
RN,2021-02-28,24
RN,2021-03-07,19
RN,2021-03-14,20
RN,2021-03-21,16
RN,2021-03-28,31
RN,2021-04-04,23
RN,2021-04-11,22
RN,2021-04-18,21
RN,2021-04-25,21
RN,2021-05-02,23
RN,2021-05-09,33
RN,2021-05-16,26
RN,2021-05-23,23
RN,2021-05-30,30
RN,2021-06-06,32
RN,2021-06-13,31
RN,2021-06-20,18
RN,2021-06-27,13
RO,2020-12-27,7
RO,2021-01-03,22
RO,2021-01-10,28
RO,2021-01-17,27
RO,2021-01-24,31
RO,2021-01-31,30
RO,2021-02-07,30
RO,2021-02-14,32
RO,2021-02-21,32
RO,2021-02-28,19
RO,2021-03-07,21
RO,2021-03-14,14
RO,2021-03-21,19
RO,2021-03-28,17
RO,2021-04-04,22
RO,2021-04-11,16
RO,2021-04-18,23
RO,2021-04-25,28
RO,2021-05-02,32
RO,2021-05-09,27
RO,2021-05-16,29
RO,2021-05-23,26
RO,2021-05-30,27
RO,2021-06-06,42
RO,2021-06-13,32
RO,2021-06-20,32
RO,2021-06-27,13
RR,2020-12-27,1
RR,2021-01-03,3
RR,2021-01-10,6
RR,2021-01-17,4
RR,2021-01-24,3
RR,2021-01-31,6
RR,2021-02-07,3
RR,2021-02-14,5
RR,2021-02-21,2
RR,2021-02-28,9
RR,2021-03-07,4
RR,2021-03-14,5
RR,2021-03-21,3
RR,2021-03-28,1
RR,2021-04-04,6
RR,2021-04-11,8
RR,2021-04-18,7
RR,2021-04-25,4
RR,2021-05-02,6
RR,2021-05-09,5
RR,2021-05-16,7
RR,2021-05-23,7
RR,2021-05-30,7
RR,2021-06-06,8
RR,2021-06-13,11
RR,2021-06-20,5
RR,2021-06-27,1
RS,2020-12-27,34
RS,2021-01-03,103
RS,2021-01-10,87
RS,2021-01-17,85
RS,2021-01-24,98
RS,2021-01-31,102
RS,2021-02-07,87
RS,2021-02-14,95
RS,2021-02-21,65
RS,2021-02-28,61
RS,2021-03-07,70
RS,2021-03-14,69
RS,2021-03-21,68
RS,2021-03-28,88
RS,2021-04-04,83
RS,2021-04-11,89
RS,2021-04-18,83
RS,2021-04-25,81
RS,2021-05-02,94
RS,2021-05-09,78
RS,2021-05-16,97
RS,2021-05-23,89
RS,2021-05-30,86
RS,2021-06-06,79
RS,2021-06-13,91
RS,2021-06-20,86
RS,2021-06-27,27
SC,2020-12-27,66
SC,2021-01-03,165
SC,2021-01-10,152
SC,2021-01-17,127
SC,2021-01-24,146
SC,2021-01-31,167
SC,2021-02-07,158
SC,2021-02-14,139
SC,2021-02-21,159
SC,2021-02-28,130
SC,2021-03-07,154
SC,2021-03-14,122
SC,2021-03-21,118
SC,2021-03-28,146
SC,2021-04-04,152
SC,2021-04-11,155
SC,2021-04-18,128
SC,2021-04-25,166
SC,2021-05-02,163
SC,2021-05-09,146
SC,2021-05-16,151
SC,2021-05-23,141
SC,2021-05-30,172
SC,2021-06-06,175
SC,2021-06-13,164
SC,2021-06-20,158
SC,2021-06-27,51
SE,2020-12-27,9
SE,2021-01-03,12
SE,2021-01-10,7
SE,2021-01-17,12
SE,2021-01-24,14
SE,2021-01-31,9
SE,2021-02-07,15
SE,2021-02-14,13
SE,2021-02-21,7
SE,2021-02-28,10
SE,2021-03-07,7
SE,2021-03-14,11
SE,2021-03-21,4
SE,2021-03-28,8
SE,2021-04-04,7
SE,2021-04-11,11
SE,2021-04-18,8
SE,2021-04-25,6
SE,2021-05-02,9
SE,2021-05-09,21
SE,2021-05-16,8
SE,2021-05-23,9
SE,2021-05-30,8
SE,2021-06-06,10
SE,2021-06-13,15
SE,2021-06-20,11
SE,2021-06-27,4
SP,2020-12-27,46
SP,2021-01-03,78
SP,2021-01-10,64
SP,2021-01-17,86
SP,2021-01-24,84
SP,2021-01-31,83
SP,2021-02-07,71
SP,2021-02-14,85
SP,2021-02-21,88
SP,2021-02-28,77
SP,2021-03-07,62
SP,2021-03-14,61
